Name,Label,Canton_name
Waldenburg,16,Köniz
Waldkirch,21,St. Gallen
Waldstatt,23,Frauenfeld
Walenstadt,7,Kriens
Walkringen,16,Köniz
Wallbach,20,Zürich
Wallenried,9,Lausanne
Wallisellen,5,Winterthur
Walliswil bei Niederbipp,13,Zuchwil
Walliswil bei Wangen,16,Köniz
Walperswil,19,Bern
Waltalingen,23,Frauenfeld
Waltensburg/Vuorz,15,Uzwil
Waltenschwil,5,Winterthur
Walterswil (BE),16,Köniz
Walterswil (SO),20,Zürich
Walzenhausen,21,St. Gallen
Wangen (SZ),7,Kriens
Wangen an der Aare,13,Zuchwil
Wangen bei Olten,3,Basel
Wangen-Brüttisellen,5,Winterthur
Wangenried,16,Köniz
Wartau,21,St. Gallen
Warth-Weiningen,23,Frauenfeld
Wassen,7,Kriens
Wasterkingen,5,Winterthur
Wattenwil,16,Köniz
Wattwil,7,Kriens
Wauwil,16,Köniz
Weesen,25,Glarus Nord
Wegenstetten,3,Basel
Weggis,4,Luzern
Weiach,5,Winterthur
Weinfelden,23,Frauenfeld
Weiningen (ZH),5,Winterthur
Weisslingen,5,Winterthur
Welschenrohr,13,Zuchwil
Wengi,16,Köniz
Wenslingen,3,Basel
Werthenstein,4,Luzern
Wettingen,20,Zürich
Wettswil am Albis,5,Winterthur
Wetzikon (ZH),5,Winterthur
Wichtrach,16,Köniz
Widen,5,Winterthur
Widnau,21,St. Gallen
Wiedlisbach,16,Köniz
Wiesendangen,5,Winterthur
Wiggiswil,16,Köniz
Wigoltingen,23,Frauenfeld
Wikon,20,Zürich
Wil (SG),23,Frauenfeld
Wil (ZH),5,Winterthur
Wila,23,Frauenfeld
Wilchingen,5,Winterthur
Wildberg,5,Winterthur
Wilderswil,16,Köniz
Wildhaus-Alt St. Johann,21,St. Gallen
Wilen (TG),25,Glarus Nord
Wiler (Lötschen),16,Köniz
Wiler bei Utzenstorf,16,Köniz
Wileroltigen,9,Lausanne
Wiliberg,20,Zürich
Willadingen,16,Köniz
Willisau,4,Luzern
Wimmis,6,Sion
Windisch,20,Zürich
Winkel,5,Winterthur
Wintersingen,20,Zürich
Winterthur,5,Winterthur
Winznau,20,Zürich
Wisen (SO),3,Basel
Wislikofen,5,Winterthur
Wittenbach,23,Frauenfeld
Witterswil,3,Basel
Wittinsburg,20,Zürich
Wittnau,3,Basel
Wohlen (AG),4,Luzern
Wohlen bei Bern,19,Bern
Wohlenschwil,20,Zürich
Wolfenschiessen,16,Köniz
Wolfhalden,21,St. Gallen
Wolfisberg,16,Köniz
Wolfwil,20,Zürich
Wolhusen,4,Luzern
Wollerau,7,Kriens
Worb,16,Köniz
Worben,19,Bern
Wuppenau,21,St. Gallen
Wynau,16,Köniz
Wynigen,16,Köniz
Wyssachen,16,Köniz
Wädenswil,7,Kriens
Wäldi,23,Frauenfeld
Wängi,5,Winterthur
Wölflinswil,3,Basel
Wünnewil-Flamatt,16,Köniz
Würenlingen,5,Winterthur
Würenlos,5,Winterthur
Yens,9,Lausanne
Yverdon-les-Bains,9,Lausanne
Yvonand,9,Lausanne
Yvorne,6,Sion
Zeglingen,20,Zürich
Zeihen,20,Zürich
Zeiningen,20,Zürich
Zell (LU),20,Zürich
Zell (ZH),5,Winterthur
Zeneggen,19,Bern
Zermatt,6,Sion
Zernez,15,Uzwil
Zetzwil,20,Zürich
Ziefen,3,Basel
Zielebach,16,Köniz
Zihlschlacht-Sitterdorf,21,St. Gallen
Zillis-Reischen,15,Uzwil
Zizers,21,St. Gallen
Zofingen,20,Zürich
Zollikofen,16,Köniz
Zollikon,20,Zürich
Zuchwil,13,Zuchwil
Zufikon,5,Winterthur
Zug,17,Zug
Zullwil,16,Köniz
Zumholz,6,Sion
Zumikon,20,Zürich
Zunzgen,20,Zürich
Zuoz,15,Uzwil
Zuzgen,3,Basel
Zuzwil (BE),16,Köniz
Zuzwil (SG),21,St. Gallen
Zweisimmen,16,Köniz
Zwieselberg,16,Köniz
Zwingen,13,Zuchwil
Zwischbergen,6,Sion
Zäziwil,7,Kriens
Zürich,20,Zürich
